category,asset,confirmedFacts,publicTypeData,operatorConfirmedNeeded,unverifiedCopy,commercialInfoNeeded,seasonalInfo,relationshipLanguage,approvalNeeded
air,Citation CJ4,Category positioning; example sectors,"Range ≈2,000nm; cruise ≈450kt; 7–8 guests (type data, labelled)",Specific tail availability; base; luggage config,Editorial description,Charter rate structure,—,Accessed through selected operators,Operator
air,Challenger 605,Category positioning,"Range ≈4,000nm; cruise ≈470kt; 10–12 guests (type data)",Tail availability; cabin crew arrangements,Editorial description,Charter rate structure,—,Accessed through selected operators,Operator
air,King Air B200,Two-crew ops; up to 9 guests; soft luggage; strip access,Turboprop class data,Base; payload ranges by mission,Editorial description,Charter rate structure,—,Accessed through selected operators,Operator
air,Twin-Engine Helicopter,Category positioning,Rotary class data,Specific type; base; pad approvals,Editorial description,Rate structure,—,Accessed through selected operators,Operator
sea,M/Y ALANI,House flagship; Whitsundays waters; crewed overnight,—,Specifications sheet; guest capacity; crew,Editorial description,Charter rates; APA/terms,Whitsundays season pattern,House flagship,Owner (house)
sea,Capelli Stradivari 52,Day charter; Noosa summer / Hamilton Mar–Nov,—,Guest configurations; crew,Editorial description,Seasonal pricing,Confirmed seasonal pattern,House day-charter hero,House/operator
sea,Sydney partner vessel,Arrangement model,—,Actual vessel(s); capacity,All copy provisional,Rates,—,Trusted partner network,Partner
sea,M/Y ANASA,Future Mediterranean chapter,—,Vessel specifics; first season,All copy provisional,Register-interest only,Future seasons,House future,Owner (house)
stay,The Cowries,Hamilton Island; oceanfront setting,—,Bedrooms; capacity; amenities,Editorial description,Nightly rates; terms,—,By arrangement via owners/managers,Owner/manager
stay,JASMINE,Hamilton Island; pool setting,—,Bedrooms; capacity,Editorial description,Nightly rates,—,By arrangement via owners/managers,Owner/manager
stay,ONE W,Hamilton Island; architectural character,—,Bedrooms; capacity,Editorial description,Nightly rates,—,By arrangement via owners/managers,Owner/manager
stay,Mountain Majesty,South Lake Tahoe; alpine residence,—,Bedrooms; capacity; seasons,Editorial description,Nightly rates,Winter/summer characters,By arrangement via owners/managers,Owner/manager
stay,Tasmanian slow stay,Concept placeholder — final residence selected to journey,—,Actual residence identity,All copy provisional,Rates,—,Selected to the journey,Owner/manager
